ID,event,sectionID,val,procID,ts,ticket
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,5,1542231442989769664,79
idUnico,END_FUNC_PROC, dejoSurtidor,1,5,1542231442989948147,80
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,5,1542231442990121467,81
idUnico,END_FUNC_PROC, dameSurtidor,0,5,1542231442990281717,82
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,6,1542231443009974671,83
idUnico,END_FUNC_PROC, dejoSurtidor,1,6,1542231443010160623,84
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,6,1542231443010334822,85
idUnico,END_FUNC_PROC, dameSurtidor,0,6,1542231443010494523,86
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,16,1542231443156458781,87
idUnico,END_FUNC_PROC, dejoSurtidor,1,16,1542231443156771702,88
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,16,1542231443156951942,89
idUnico,END_FUNC_PROC, dameSurtidor,0,16,1542231443157111094,90
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,17,1542231443310869618,91
idUnico,END_FUNC_PROC, dejoSurtidor,1,17,1542231443311164087,92
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,17,1542231443311345645,93
idUnico,END_FUNC_PROC, dameSurtidor,0,17,1542231443311506115,94
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,11,1542231443361955872,95
idUnico,END_FUNC_PROC, dejoSurtidor,1,11,1542231443362140176,96
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,11,1542231443362314814,97
idUnico,END_FUNC_PROC, dameSurtidor,0,11,1542231443362479348,98
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,5,1542231443623546289,99
idUnico,END_FUNC_PROC, dejoSurtidor,1,5,1542231443623732680,100
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,5,1542231443623907428,101
idUnico,END_FUNC_PROC, dameSurtidor,0,5,1542231443624068447,102
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,12,1542231443749097512,103
idUnico,END_FUNC_PROC, dejoSurtidor,1,12,1542231443749278960,104
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,12,1542231443749452280,105
idUnico,END_FUNC_PROC, dameSurtidor,0,12,1542231443749613299,106
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,17,1542231443792733405,107
idUnico,END_FUNC_PROC, dejoSurtidor,1,17,1542231443792914524,108
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,17,1542231443793089492,109
idUnico,END_FUNC_PROC, dameSurtidor,0,17,1542231443793254245,110
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,6,1542231443808729405,111
idUnico,END_FUNC_PROC, dejoSurtidor,1,6,1542231443808912172,112
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,6,1542231443809087579,113
idUnico,END_FUNC_PROC, dameSurtidor,0,6,1542231443809249257,114
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,5,1542231443864282779,115
idUnico,END_FUNC_PROC, dejoSurtidor,1,5,1542231443864462140,116
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,5,1542231443864636669,117
idUnico,END_FUNC_PROC, dameSurtidor,0,5,1542231443864797907,118
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,16,1542231443961357053,119
idUnico,END_FUNC_PROC, dejoSurtidor,1,16,1542231443961540479,120
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,16,1542231443961714788,121
idUnico,END_FUNC_PROC, dameSurtidor,0,16,1542231443961876246,122
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,11,1542231444074751025,123
idUnico,END_FUNC_PROC, dejoSurtidor,1,11,1542231444075076797,124
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,11,1542231444075259124,125
idUnico,END_FUNC_PROC, dameSurtidor,0,11,1542231444075420473,126
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,17,1542231444077483073,127
idUnico,END_FUNC_PROC, dejoSurtidor,1,17,1542231444077666938,128
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,17,1542231444077842345,129
idUnico,END_FUNC_PROC, dameSurtidor,0,17,1542231444078002595,130
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,5,1542231444122026866,131
idUnico,END_FUNC_PROC, dejoSurtidor,1,5,1542231444122211720,132
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,5,1542231444122386687,133
idUnico,END_FUNC_PROC, dameSurtidor,0,5,1542231444122548475,134
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,16,1542231444560143375,135
idUnico,END_FUNC_PROC, dejoSurtidor,1,16,1542231444560436855,136
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,16,1542231444560617095,137
idUnico,END_FUNC_PROC, dameSurtidor,0,16,1542231444560778444,138
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,11,1542231444587659373,139
idUnico,END_FUNC_PROC, dejoSurtidor,1,11,1542231444587890796,140
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,11,1542231444588065764,141
idUnico,END_FUNC_PROC, dameSurtidor,0,11,1542231444588229090,142
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,12,1542231444597852436,143
idUnico,END_FUNC_PROC, dejoSurtidor,1,12,1542231444598034653,144
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,12,1542231444598208632,145
idUnico,END_FUNC_PROC, dameSurtidor,0,12,1542231444598370749,146
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,5,1542231444625785259,147
idUnico,END_FUNC_PROC, dejoSurtidor,1,5,1542231444625968245,148
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,5,1542231444626142774,149
idUnico,END_FUNC_PROC, dameSurtidor,0,5,1542231444626303792,150
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,6,1542231444680492460,151
idUnico,END_FUNC_PROC, dejoSurtidor,1,6,1542231444680675995,152
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,6,1542231444680851182,153
idUnico,END_FUNC_PROC, dameSurtidor,0,6,1542231444681012201,154
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,6,1542231444794223944,155
idUnico,END_FUNC_PROC, dejoSurtidor,1,6,1542231444794402207,156
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,6,1542231444794576846,157
idUnico,END_FUNC_PROC, dameSurtidor,0,6,1542231444794739073,158
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,16,1542231444802995747,159
idUnico,END_FUNC_PROC, dejoSurtidor,1,16,1542231444803174559,160
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,16,1542231444803350406,161
idUnico,END_FUNC_PROC, dameSurtidor,0,16,1542231444803511425,162
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,17,1542231444898236428,163
idUnico,END_FUNC_PROC, dejoSurtidor,1,17,1542231444898419524,164
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,17,1542231444898594711,165
idUnico,END_FUNC_PROC, dameSurtidor,0,17,1542231444898756170,166
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,5,1542231445186558056,167
idUnico,END_FUNC_PROC, dejoSurtidor,1,5,1542231445186856808,168
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,5,1542231445187039684,169
idUnico,END_FUNC_PROC, dameSurtidor,0,5,1542231445187212016,170
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,12,1542231445338637745,171
idUnico,END_FUNC_PROC, dejoSurtidor,1,12,1542231445338953522,172
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,12,1542231445339134531,173
idUnico,END_FUNC_PROC, dameSurtidor,0,12,1542231445339294562,174
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,16,1542231445347749038,175
idUnico,END_FUNC_PROC, dejoSurtidor,1,16,1542231445347933233,176
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,16,1542231445348107871,177
idUnico,END_FUNC_PROC, dameSurtidor,0,16,1542231445348269879,178
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,11,1542231445383471163,179
idUnico,END_FUNC_PROC, dejoSurtidor,1,11,1542231445383657225,180
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,11,1542231445383833181,181
idUnico,END_FUNC_PROC, dameSurtidor,0,11,1542231445383999912,182
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,16,1542231445489496712,183
idUnico,END_FUNC_PROC, dejoSurtidor,1,16,1542231445489707596,184
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,16,1542231445489883223,185
idUnico,END_FUNC_PROC, dameSurtidor,0,16,1542231445490043803,186
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,6,1542231445554975039,187
idUnico,END_FUNC_PROC, dejoSurtidor,1,6,1542231445555193832,188
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,6,1542231445555368909,189
idUnico,END_FUNC_PROC, dameSurtidor,0,6,1542231445555531466,190
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,12,1542231445667534920,191
idUnico,END_FUNC_PROC, dejoSurtidor,1,12,1542231445667738116,192
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,12,1542231445667941532,193
idUnico,END_FUNC_PROC, dameSurtidor,0,12,1542231445668126385,194
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,17,1542231445694993244,195
idUnico,END_FUNC_PROC, dejoSurtidor,1,17,1542231445695177877,196
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,17,1542231445695353724,197
idUnico,END_FUNC_PROC, dameSurtidor,0,17,1542231445695515292,198
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,5,1542231445786458988,199
idUnico,END_FUNC_PROC, dejoSurtidor,1,5,1542231445786675693,200
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,5,1542231445786852968,201
idUnico,END_FUNC_PROC, dameSurtidor,0,5,1542231445787015085,202
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,17,1542231445965744269,203
idUnico,END_FUNC_PROC, dejoSurtidor,1,17,1542231445965950760,204
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,17,1542231445966126826,205
idUnico,END_FUNC_PROC, dameSurtidor,0,17,1542231445966287186,206
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,12,1542231445969372135,207
idUnico,END_FUNC_PROC, dejoSurtidor,1,12,1542231445969554022,208
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,12,1542231445969728221,209
idUnico,END_FUNC_PROC, dameSurtidor,0,12,1542231445969889789,210
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,11,1542231446020276831,211
idUnico,END_FUNC_PROC, dejoSurtidor,1,11,1542231446020562733,212
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,11,1542231446020744291,213
idUnico,END_FUNC_PROC, dameSurtidor,0,11,1542231446020905969,214
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,5,1542231446165270473,215
idUnico,END_FUNC_PROC, dejoSurtidor,1,5,1542231446165567688,216
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,5,1542231446165749465,217
idUnico,END_FUNC_PROC, dameSurtidor,0,5,1542231446165919601,218
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,16,1542231446229283057,219
idUnico,END_FUNC_PROC, dejoSurtidor,1,16,1542231446229467691,220
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,16,1542231446229643318,221
idUnico,END_FUNC_PROC, dameSurtidor,0,16,1542231446229805215,222
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,12,1542231446363160359,223
idUnico,END_FUNC_PROC, dejoSurtidor,1,12,1542231446363454828,224
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,12,1542231446363634299,225
idUnico,END_FUNC_PROC, dameSurtidor,0,12,1542231446363794329,226
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,6,1542231446416767447,227
idUnico,END_FUNC_PROC, dejoSurtidor,1,6,1542231446416952190,228
idUnico,BEGIN_FUNC_PROC, dameSurtidor,1,6,1542231446417126938,229
idUnico,END_FUNC_PROC, dameSurtidor,0,6,1542231446417287957,230
idUnico,BEGIN_FUNC_PROC, dejoSurtidor,0,16,1542231446705039759,231
idUnico,END_FUNC_PROC, dejoSurtidor,1,16,1542231446705230763,232
