ID,event,sectionID,val,procID,ts,ticket
idUnico,WAIT,mutex,0,9,1547227556826065569,109
idUnico,SIGNAL,mutex,1,9,1547227556826181115,110
idUnico,WAIT,mutex,0,6,1547227556826302374,111
idUnico,SIGNAL,b_hay_dato,1,6,1547227556826424621,112
idUnico,WAIT,b_hay_dato,0,9,1547227556826550053,113
idUnico,SIGNAL,mutex,1,9,1547227556826687896,114
idUnico,WAIT,mutex,0,9,1547227556826817173,115
idUnico,SIGNAL,mutex,1,9,1547227556826933489,116
idUnico,WAIT,mutex,0,6,1547227556827054198,117
idUnico,SIGNAL,b_hay_dato,1,6,1547227556827176445,118
idUnico,WAIT,b_hay_dato,0,9,1547227556827301987,119
idUnico,SIGNAL,mutex,1,9,1547227556827440160,120
idUnico,WAIT,mutex,0,9,1547227556827569546,121
idUnico,SIGNAL,mutex,1,9,1547227556827684763,122
idUnico,WAIT,mutex,0,3,1547227556827805692,123
idUnico,SIGNAL,b_hay_dato,1,3,1547227556827930026,124
idUnico,WAIT,b_hay_dato,0,9,1547227556828056117,125
idUnico,SIGNAL,mutex,1,9,1547227556828194839,126
idUnico,WAIT,mutex,0,9,1547227556828322688,127
idUnico,SIGNAL,mutex,1,9,1547227556828438345,128
idUnico,WAIT,mutex,0,3,1547227556828559383,129
idUnico,SIGNAL,b_hay_dato,1,3,1547227556828683607,130
idUnico,WAIT,b_hay_dato,0,9,1547227556828810248,131
idUnico,SIGNAL,mutex,1,9,1547227556828948750,132
idUnico,WAIT,mutex,0,7,1547227556829064736,133
idUnico,SIGNAL,mutex,1,7,1547227556829187532,134
idUnico,WAIT,mutex,0,9,1547227556829316919,135
idUnico,SIGNAL,mutex,1,9,1547227556829434443,136
idUnico,WAIT,mutex,0,3,1547227556829555481,137
idUnico,SIGNAL,b_hay_dato,1,3,1547227556829679156,138
idUnico,WAIT,b_hay_dato,0,9,1547227556829806236,139
idUnico,SIGNAL,mutex,1,9,1547227556829944189,140
idUnico,WAIT,mutex,0,9,1547227556830066985,141
idUnico,SIGNAL,mutex,1,9,1547227556830181873,142
idUnico,WAIT,mutex,0,3,1547227556830302472,143
idUnico,SIGNAL,b_hay_dato,1,3,1547227556830426587,144
idUnico,WAIT,b_hay_dato,0,9,1547227556830534225,145
idUnico,SIGNAL,mutex,1,9,1547227556830674925,146
idUnico,WAIT,mutex,0,9,1547227556830798380,147
idUnico,SIGNAL,mutex,1,9,1547227556831057811,148
idUnico,WAIT,mutex,0,3,1547227556831180717,149
idUnico,SIGNAL,b_hay_dato,1,3,1547227556831304611,150
idUnico,WAIT,b_hay_dato,0,9,1547227556831411481,151
idUnico,SIGNAL,mutex,1,9,1547227556831550094,152
idUnico,WAIT,mutex,0,4,1547227556831681018,153
idUnico,SIGNAL,b_hay_dato,1,4,1547227556831805901,154
